,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32
state department,7,government,3,0.002228589621139764,1.0413926851582251,0.0023208369296744908,1.0,,,,,,,,,,,,,0.03333333333333333,,,0.047619047619047616,,,0.02564102564102564,,,,,,,,,,,,,,
arizona,6,unitedStates,1,0.0019102196752626551,1.5185139398778875,0.0029006952051153535,1.0,,,,,,,0.06315789473684211,,,,,,,,,,,,,,,,,,,,,,,,,,
attorney general,6,judicial,1,0.0019102196752626551,1.5185139398778875,0.0029006952051153535,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,
facebook,6,privacy,2,0.0019102196752626551,1.2174839442139063,0.0023256617845537845,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15151515151515152,0.004347826086956522,
justice,6,judicial,3,0.0019102196752626551,1.0413926851582251,0.0019892887968638493,1.0,,,,,0.045454545454545456,,0.031578947368421054,,,,,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,
us attorney,6,judicial,1,0.0019102196752626551,1.5185139398778875,0.0029006952051153535,1.0,,,,,,,,,,,,0.024896265560165973,,,,,,,,,,,,,,,,,,,,,
new york,6,unitedStates,3,0.0019102196752626551,1.0413926851582251,0.0019892887968638493,1.0,,,,,,0.004878048780487805,,,,,,0.016597510373443983,,,,,,,,,,,,,,,,,,,,,0.011235955056179775
johnMcentee,6,trumpStaff,1,0.0019102196752626551,1.5185139398778875,0.0029006952051153535,1.0,,,,,,,,,,,,,,,,,0.13043478260869565,,,,,,,,,,,,,,,,
claireMccaskill,6,democrat,2,0.0019102196752626551,1.2174839442139063,0.0023256617845537845,1.0,,,,,,,,,,,,,,0.004629629629629629,0.017421602787456445,,,,,,,,,,,,,,,,,,
parkland,6,guns,2,0.0019102196752626551,1.2174839442139063,0.0023256617845537845,1.0,,,,0.06976744186046512,,,,,,,,,,,,,,,,,,,,,,,,0.02912621359223301,,,,,
senate,6,government,4,0.0019102196752626551,0.9164539485499251,0.001750628363992216,1.0,,0.009615384615384616,,,,0.014634146341463415,,,,,,,,0.004629629629629629,,,,,,,,,,,,,,,,,,0.004347826086956522,
economy,6,economy,4,0.0019102196752626551,0.9164539485499251,0.001750628363992216,1.0,,,,,,0.00975609756097561,,,,,,,,0.009259259259259259,,,,0.014492753623188406,,,,,,,0.0044444444444444444,,,,,,,,
christopherLiddell,6,trumpStaff,1,0.0019102196752626551,1.5185139398778875,0.0029006952051153535,1.0,,,,,,,,,,,0.15789473684210525,,,,,,,,,,,,,,,,,,,,,,
USMilitary,5,war,3,0.001591849729385546,1.0413926851582251,0.0016577406640532078,1.0,,,0.014492753623188406,,,0.014634146341463415,,,,,,,,0.004629629629629629,,,,,,,,,,,,,,,,,,,
louDobbs,5,controversy,1,0.001591849729385546,1.5185139398778875,0.0024172460042627946,1.0,,,,,,,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,
guns,5,guns,4,0.001591849729385546,0.9164539485499251,0.0014588569699935136,1.0,,,0.014492753623188406,0.046511627906976744,,0.004878048780487805,,,,,,,,,,,,,,,,,,,,,,,0.016666666666666666,,,,
USAlly,5,internationalPolitics,2,0.001591849729385546,1.2174839442139063,0.001938051487128154,1.0,,,,,,,,,,,,,,0.018518518518518517,0.003484320557491289,,,,,,,,,,,,,,,,,,
energy,5,energy,4,0.001591849729385546,0.9164539485499251,0.0014588569699935136,1.0,,0.009615384615384616,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,0.024691358024691357,,,,,,,,,,
nancyPelosi,5,democrat,4,0.001591849729385546,0.9164539485499251,0.0014588569699935136,1.0,,,,,,,,,0.015873015873015872,,,,,0.004629629629629629,0.006968641114982578,,,,,,,,,,,,,,,,,0.004347826086956522,
michaelAvenatti,5,controversy,2,0.001591849729385546,1.2174839442139063,0.001938051487128154,1.0,0.046511627906976744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02097902097902098,,,
nationalRifleAssociation,5,guns,1,0.001591849729385546,1.5185139398778875,0.0024172460042627946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04854368932038835,,,,,
politician,5,government,3,0.001591849729385546,1.0413926851582251,0.0016577406640532078,1.0,,,,,,,,,,,,,,0.004629629629629629,0.010452961672473868,,,,,,,,,,,,,,,,0.030303030303030304,,
probe,4,russiaElectionInterference,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,,0.014492753623188406,,,,0.010526315789473684,,,,,0.004149377593360996,,,,,,,,,,,,,,,,,0.016666666666666666,,,,
jobs,4,economy,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,0.05128205128205128,,,,,,,,,,,,,,
chuckSchumer,4,democrat,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,0.004878048780487805,,,,,,,,,0.003484320557491289,,,,,,,,,,,,,0.019417475728155338,,,,,
abc,4,media,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,0.012345679012345678,,0.008888888888888889,,,,,,,,
fbi,4,lawEnforcement,1,0.0012734797835084368,1.5185139398778875,0.0019337968034102357,1.0,,,,,,,,,,,,0.016597510373443983,,,,,,,,,,,,,,,,,,,,,
extremeRight,4,extremeRight,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,0.009615384615384616,,,,0.004878048780487805,,,,,,0.004149377593360996,,,,,,,,,,,0.012345679012345678,,,,,,,,,,
firing,4,controversy,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,0.045454545454545456,,,,,,,0.004149377593360996,,,,,0.021739130434782608,,,,,,,,,,,,,,,,
deposition,4,judicial,1,0.0012734797835084368,1.5185139398778875,0.0019337968034102357,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027972027972027972,,,
timKaine,4,democrat,1,0.0012734797835084368,1.5185139398778875,0.0019337968034102357,1.0,,,,,,0.01951219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,
wto,4,foreignTrade,3,0.0012734797835084368,1.0413926851582251,0.0013261925312425663,1.0,,,,,,,,,,,,,,0.004629629629629629,0.003484320557491289,,,,,,,,,,0.008888888888888889,,,,,,,,
mikePompeo,4,trumpStaff,2,0.0012734797835084368,1.2174839442139063,0.001550441189702523,1.0,,,,,,,,,,,,,,,,0.01904761904761905,0.043478260869565216,,,,,,,,,,,,,,,,
security clearance,4,judicial,2,0.0012734797835084368,1.2174839442139063,0.001550441189702523,1.0,,,,,,,,,,,,,,,,,0.021739130434782608,,,,,,,,,,0.06,,,,,,
backgroundChecks,4,guns,1,0.0012734797835084368,1.5185139398778875,0.0019337968034102357,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038834951456310676,,,,,
fakenews,4,controversy,2,0.0012734797835084368,1.2174839442139063,0.001550441189702523,1.0,,,0.028985507246376812,,,,,,,,,,,,,,,,,,,,0.024691358024691357,,,,,,,,,,
garyCohn,4,trumpStaff,4,0.0012734797835084368,0.9164539485499251,0.0011670855759948107,1.0,,,,,0.022727272727272728,,,,,,0.02631578947368421,,,0.004629629629629629,,,,,,,,,,,0.0044444444444444444,,,,,,,,
